data_atualizacao_anuncio,logradouro,numero,bairro,edificio,municipio,estado,cep,lat,lng,negocio,valor_anuncio,area_util,preco_m2,dormitorios,banheiros,vagas,tp_unidade,url_anuncio
2018-09-02T05:31:33.950Z,Rua Bandeira Paulista,272,Itaim Bibi,,São Paulo,São Paulo,4532000,"-23,581340000000","-46,676597000000",RENTAL,"4000,000000000000","119,000000000000",33.61344537815126,3,2,1,APARTMENT,/imovel/apartamento-3-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-119m2-venda-RS1000000-id-1037784446/
2018-09-15T14:46:47.200Z,Rua Campos Bicudo,153,Itaim Bibi,,São Paulo,São Paulo,4536010,"-23,581398000000","-46,682579000000",SALE,"370000,000000000000","45,000000000000",8222.222222222223,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-45m2-venda-RS370000-id-1038332748/
2018-08-18T08:37:42.590Z,Rua Tenente Negrão,200,Itaim Bibi,,São Paulo,São Paulo,4030030,"-23,585231000000","-46,672632000000",RENTAL,"2400,000000000000","35,000000000000",68.57142857142857,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-35m2-aluguel-RS2400-id-74296740/
2018-08-20T19:16:46.878Z,Rua Joaquim Floriano,466,Itaim Bibi,,São Paulo,São Paulo,4534002,"-23,584394000000","-46,675080000000",RENTAL,"5000,000000000000","40,000000000000",125,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-40m2-aluguel-RS5000-id-90407905/
2018-08-18T07:54:24.277Z,Avenida Cidade Jardim,411,Itaim Bibi,,São Paulo,São Paulo,1453000,"-23,581065000000","-46,683815000000",RENTAL,"2720,000000000000","40,000000000000",68,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-40m2-aluguel-RS2720-id-90333357/
2018-09-15T07:10:21.938Z,Rua Pedroso Alvarenga,1256,Itaim Bibi,,São Paulo,São Paulo,4531000,"-23,582874000000","-46,682487000000",RENTAL,"2095,000000000000","29,000000000000",72.24137931034483,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-29m2-aluguel-RS2095-id-1041087720/
2018-09-06T15:53:14.711Z,Rua Amauri,513,Itaim Bibi,,São Paulo,São Paulo,1448000,"-23,583027000000","-46,684753000000",SALE,"480000,000000000000","42,000000000000",11428.57142857143,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-42m2-venda-RS480000-id-1038032907/
2018-08-18T08:24:35.885Z,Rua Pedroso Alvarenga,1170,Itaim Bibi,,São Paulo,São Paulo,4531004,"-23,582470000000","-46,681652000000",SALE,"575000,000000000000","40,000000000000",14375,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-40m2-venda-RS575000-id-61885771/
2018-09-06T15:53:47.918Z,Rua Pedroso Alvarenga,1088,Itaim Bibi,,São Paulo,São Paulo,4531004,"-23,582221000000","-46,680940000000",RENTAL,"5300,000000000000","65,000000000000",81.53846153846153,2,1,1,FLAT,/imovel/flat-2-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-65m2-aluguel-RS5300-id-1039447642/
2018-09-06T15:53:20.715Z,Avenida Cidade Jardim,411,Itaim Bibi,,São Paulo,São Paulo,1453000,"-23,581065000000","-46,683815000000",RENTAL,"2346,000000000000","34,000000000000",69,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-34m2-aluguel-RS2346-id-1038033204/
2018-09-15T03:11:20.354Z,Rua Bandeira Paulista,556,Itaim Bibi,,São Paulo,São Paulo,4532011,"-23,584444000000","-46,675957000000",SALE,"480000,000000000000","38,000000000000",12631.578947368422,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-38m2-venda-RS480000-id-1041086171/
